,Unnamed: 0,URL,ID,Name,Subtitle,Icon URL,Average User Rating,User Rating Count,Price,In-app Purchases,Description,Developer,Age Rating,Languages,Size,Primary Genre,Genres,Original Release Date,Current Version Release Date,genre,Download,Income,Ad Income,Sale Income,Total Income
1378,1378,https://apps.apple.com/us/app/clash-of-clans/id529479190,529479190,Clash of Clans,Build your empire,https://is2-ssl.mzstatic.com/image/thumb/Purple123/v4/7b/3b/ff/7b3bff6d-9e02-a520-c1eb-c7215f337e45/source/512x512bb.jpg,4.5,3032734,0,"4.99, 9.99, 19.99, 0.99, 4.99, 0.99, 49.99, 99.99, 2.99, 4.99","""Join millions of players worldwide as you build your village, raise a clan, and compete in epic Clan Wars!\n\nMustachioed Barbarians, fire wielding Wizards, and other unique troops are waiting for you! Enter the world of Clash!\n\nNew Features:\n\u25cf    Upgrade to the all new Town Hall 12 to have your Town Hall fight back!\n\u25cf    Use the power of Siege Machines to break through the toughest of defenses\n\u25cf    Work together with your clan in Clan Games to earn valuable Magic Items\n\nClassic Features:\n\u25cf    Join a Clan of fellow players or start your own and invite friends.\n\u25cf    Fight in Clan Wars as a team against other players across the globe.\n\u25cf    Defend your village with a multitude of cannons, bombs, traps, mortars, and walls.\n\u25cf    Fight against the Goblin King in a campaign through the realm.\n\u25cf    Plan unique battle strategies with countless combinations of spells, troops, and Heroes!\n\u25cf    Friendly Challenges, Friendly Wars, and special events.\n\u25cf    Train unique troops with multiple levels of upgrades.\n\u25cf    Journey to the Builder Base and discover new buildings and characters in a mysterious world.\n\nPLEASE NOTE! Clash of Clans is free to download and play, however, some game items can also be purchased for real money. If you don't want to use this feature, please disable in-app purchases in your device's settings. Also, under our Terms of Service and Privacy Policy, you must be at least 13 years of age to play or download Clash of Clans.\n\nA network connection is also required.\n\nPlayer Reviews: Clash of Clans proudly announces over one million five star reviews on the App Store.\n\nSupport: Chief, are you having problems? Visit http://supercell.helpshift.com/a/clash-of-clans/ or http://supr.cl/ClashForum or contact us in game by going to Settings > Help and Support.\n\nPrivacy Policy: http://www.supercell.net/privacy-policy/\n\nTerms of Service: http://www.supercell.net/terms-of-service/\n\nParent\u2019s Guide: http://www.supercell.net/parents""",Supercell,9+,"AR, NL, EN, FI, FR, DE, ID, IT, JA, KO, MS, NB, PT, RU, ZH, ES, TH, ZH, TR, VI",161219584,Games,"Games, Action, Entertainment, Strategy",2/08/2012,20/06/2019,Action,60654680,4561231.936,582284.928,0,116456985.6
1649,1649,https://apps.apple.com/us/app/bloons-td-5/id563718995,563718995,Bloons TD 5,Top-Rated Tower Defense Game,https://is2-ssl.mzstatic.com/image/thumb/Purple123/v4/b4/21/12/b4211278-ff46-d0c4-6eb6-9109c2639260/source/512x512bb.jpg,5,97776,2.99,"0.99, 0.99, 4.99, 2.99, 0.99, 9.99, 9.99, 19.99, 4.99, 1.99","""Five-star tower defense with unrivaled depth and replayability. Now with rewarded leaderboards for even more fun and challenge!\n\nThe Bloons are back and this time they mean business! Build awesome towers, choose your favorite upgrades, hire cool new Special Agents, and pop every last invading Bloon in the best ever version of the most popular tower defense series in history.\n\nFeaturing 2 brand new Towers, cool Special Agents, glorious retina graphics, original Tracks and Special Missions, a whole new tier of Specialty Building upgrades, and the powerful Monkey Lab to further upgrade your towers, Bloons TD 5 delivers hours and hours of fun, challenging play to fans and new players alike.\n\nHours and Hours of Awesome Gameplay:\n* 21 powerful towers with Activated Abilities and 2 upgrade paths\n* 10 Special Agents\n* 50+ Tracks\n* 10 Special Missions\n* 250+ Random Missions\n* New Bloon enemies - tougher Camos, Regrower Bloons, and the fearsome ZOMG\n* 50+ Game Center Achievements and Challenges\n* iCloud Support\n* 3 different game modes\n* Freeplay mode after mastering a track\n* 4 difficulty settings and family-friendly theme so anyone can play\n\nAnd that's just the beginning - regular planned updates will keep Bloons TD 5 fresh, fun, and challenging for many months to come. Now it's time to pop some Bloons!\n\nRemember to save to iCloud after each victory or purchase to save your progress. \n\niPad and iPad mini version also available - check out Bloons TD 5 HD for full screen UI awesomeness!""",Ninja Kiwi,9+,"AR, DA, EN, FI, FR, DE, IT, JA, KO, NO, PT, RU, ES, SV, TR",133326848,Games,"Games, Action, Entertainment, Strategy",15/11/2012,4/07/2019,Action,1955520,147055.104,18772.992,5847004.8,9601603.2
105,105,https://apps.apple.com/us/app/sallys-spa-lite/id315733642,315733642,"""Sally's Spa Lite""","Design Manage Build, have Fun!",https://is2-ssl.mzstatic.com/image/thumb/Purple128/v4/39/69/03/39690358-d3ce-7985-9165-91fd23c463b2/source/512x512bb.jpg,4,193923,0,,"""It\u2019s time to Relax & Refresh is Sally\u2019s Spa! In this Lite Version you travel to Laguna Beach where you manage your virtual spa making customers relaxed and have them leaving with big smiles. Play a couple of mini games such as Saunas, Face Masks and Massage Tables. Brew some Tea and light some candles to help your customers feel relaxed. Try it today, after all everyone needs a free massage!\n\nCritic Reviews for the Full Version!\n\u25a0 \u25a0 \u25a0 \u25a0 \u25a0 CRITIC REVIEWS! \u25a0 \u25a0 \u25a0 \u25a0 \u25a0\n\u201cSally\u2019s Spa is one of the best time management Games I have played by far.\u201d \u2013 touchmyapps.com\n\n\u201cIt\u2019s surprising how addictive this game can become, and its original gameplay makes it a winner for me.\u201d \u2013 Appletell.com\n\n\u201cthis game could literally keep players going for hours.\u201d \u2013 AppVee.com\n\n\u201cSally's Spa is uber-cute and strangely addictive! Even *guys* will have fun building a spa empire in this top-shelf casual game.\u201d \u2013 iPhoneAppReviews.net\n\n\u201clooking for a great time management game, you can't go wrong with Sally's Spa.\u201d \u2013 osxreality.com\n\n\u201cThis one definitely get\u2019s a thumbs up!\u201d \u2013 themomsreview.com\n\n--==--==--==--==--\nGet the Full Version!\nTreat yourself to some relaxation and fast paced fun in Sally's Spa and see why millions of players have made Sally\u2019s Spa the best selling casual game for PC/Mac and now it\u2019s available for your iPhone and iPod Touch!\n\nSally's back and ready for a relaxing rush in luxury spa locations around the world.  Refresh your customers with saunas, manicures, bath bombs, massages, hot stones and more. Enhance the experience of your clients with upgrades for your rapidly growing business.\n\nMelt away the stress from a wide variety of customers and personalities including blushing brides, demanding fashionistas, calm couples, and many others!  As you build your Spas, earn money to shop for over 65 items including employees to help your Spa business grow!\n\nSally's Spa features all of the fun of Sally's Salon, plus loads of new surprises!  A wonderful escape for gamers of all ages, join Sally on her latest adventure today!\n\nF E A T U R E S:\n\u2022 Use your finger to touch and drag your customers to your Spa stations such as Saunas, Face Masks, Massage Tables and much more in the Full Version.\n\n, Mani-Pedi stations and serve them Tea to help them relax and refresh.\n\n\u2022 Many fun spa services to play as Mini Games like Mud Masks, Hot Stones, Bath Bombs, Massages, Manicures & much more!\n\n\u2022 It\u2019s not just about massaging your customers, they need extra products like Body Butter and Calming Bath salts too! Maximize your product sales buy getting more soothing products for your shelf.\n\n\u2022 Buy powerups to keep those clients happy! After all, how do you calm down a Fashionista? With a patience candle of course!\n\n \u2022 As you travel from New York, Paris, Rome, Japan, Fiji and many more places you will meet many character personalities like Rock Stars, Heiresses, Male Models, Athletes and more!\n\n \u2022 With 50 Levels and 10 beautiful locations around the world you get hours upon hours of fun!\n\nHighly recommended for fans of time management games such as Sally\u2019s Salon, Supermarket Mania, Diner Dash & Cake Mania.""",Games Cafe Inc.,4+,"EN, FR, DE, IT, ES",233482240,Games,"Games, Action, Entertainment, Strategy",28/05/2009,11/09/2017,Action,3878460,291660.192,37233.216,0,7446643.2
309,309,https://apps.apple.com/us/app/towermadness-hd/id368841090,368841090,TowerMadness HD,Classic Defense Strategy,https://is1-ssl.mzstatic.com/image/thumb/Purple128/v4/b4/4b/e7/b44be726-d63e-ca4b-36e9-3a507e5f25e2/source/512x512bb.jpg,4.5,18279,4.99,"1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 5.99","The most downloaded 3D tower defense strategy game on the iPhone has been enhanced for the iPad and includes split-screen multiplayer!  Winner of the prestigious Pocket Gamer Readers\' Choice iPad Game of the Year Award! \n\nEvil aliens are coming to turn your beloved sheep into intergalactic scarves!  Protect the flock using only quick thinking and the arsenal of upgradeable weaponry at your disposal.  \n\n""Addictive, time-sucking fun. There are plenty of tower defense strategy games out there, but TowerMadness brings the genre to a new level.""\n- Brian X Chen, Wired\n\n""If you\u2019re a fan of Tower Defense games, do yourself a huge favor and check out TowerMadness.""\n- Jon Phillips, MacLife\n\n""It would be madness to miss this game...it comes highly recommended.""\n- Spanner Spencer, PocketGamer\n \n\u2022 WINNER, Best App Ever Awards, Best Strategy Game\n\u2022 FINALIST, Pocket Gamer Awards, Best Strategy/Simulation Game\n\u2022 A Wired Favorite iPhone App\n\u2022 A MacLife App of the Year \n\nA UNIQUE 3D TOWER DEFENSE EXPERIENCE\nPlay from an aerial view or zoom down to first person and get close to the action.\n\nLOTS OF LEVELS\nOver 100 maps in diverse environments (35 available as expansion map packs).  \n\nALIENS!\nThink fast to defeat the 17 different types of alien enemies intent on stealing your sheep.\n\nGUNS, LOTS OF GUNS\nOver 60 diverse weapons and upgrades.\n\nENDLESS FUN\nEndless mode lets you see how many waves you can withstand.\n\nCOMPETITION\nGlobal leaderboards, Game Center achievements, and Friend Scores so you can compare scores with your friends and the millions of players worldwide.\n\nLET\u2019S SEE THAT AGAIN!\nReplays let you learn new strategies or share your games with the world through Twitter, Facebook, or email.\n\nLOCAL MULTIPLAYER\nTwo-player split screen battle mode featuring RoboSteal, the sheep stealing alien robot you can unleash upon your opponent.\n\nCUSTOMER LOYALTY BONUS\nTransfer any in app purchases made in the iPhone version of TowerMadness to TowerMadness HD for FREE! Visit support.limbic.com for details.\n\nSearch for our other award-winning games: Zombie Gunship and Nuts!",Limbic Software,9+,EN,65495040,Games,"Games, Action, Strategy",23/05/2010,3/03/2018,Action,365580,27491.616,3509.568,1824244.2,2526157.8
1356,1356,https://apps.apple.com/us/app/fieldrunners-2/id527358348,527358348,Fieldrunners 2,,https://is1-ssl.mzstatic.com/image/thumb/Purple118/v4/0d/f7/e4/0df7e491-b58d-f99a-3762-8614cb6cce70/source/512x512bb.jpg,5,14626,2.99,"2.99, 8.99, 12.99, 19.99, 39.99, 99.99","OVERVIEW \n\nThe fieldrunners are back! With legions of soldiers and a gaggle of new tricks, they\u2019re ready to conquer the globe. Or so they think! Our top scientists at SubaLabs have built a bleeding-edge arsenal of devastating weapons for any heroes willing to stop these dastardly invaders. Help your people by taking action - DEFEND THE WORLD! \n\nStrategic-Action-Puzzle-Defense has never been this fun and addicting! Defend your world from the invasion by building winding paths out of imaginative, new weapons. Call in airstrikes and set explosive traps to hit the enemies where it hurts. Over 20 new levels span the grassiest fields, driest deserts, sparkling cities, and even an infernal volcano lair! Challenge your mind with the exciting new gameplay styles in Puzzle, Sudden Death, and Time Trial levels. Are you ready to stop the fieldrunners once and for all? Join the defense now! \n\nKEY FEATURES\n\n\u2022 Gorgeous artwork at full Retina resolution! \n\u2022 Tons of levels - countless hours of action! \n\u2022 20 unique, upgradable weapons! \n\u2022 Revolutionary AI with stunning realism! \n\u2022 Pick the perfect weapons for each battle! \n\u2022 Air strikes, mines, and powerful items! \n\u2022 Refreshing game modes, which include Time Trial, Sudden Death, and Puzzle maps! \n\u2022 Trenches, bridges, and tunnels! \n\u2022 Elite enemies invade at the most unexpected times!\n\u2022 iCloud support lets you transfer saves between your devices!\n\u2022 A tower that launches bee hives!\n\nOFFICIAL TRAILER \n\nhttps://www.youtube.com/watch?v=t6AK8w50354\n\nAWARDS\n\n\u2022 Kotaku - Gaming App of the Day \n\u2022 GameTrailers - App of the Day \n\u2022 G4TV - Best Mobile Games \n\u2022 Macworld - Editors\u2019 Choice \n\u2022 148Apps - Editor\u2019s Choice \n\u2022 Slide to Play - Game of the Month \n\u2022 AppAdvice - Game of the Week \n\u2022 Chicago Tribune - Game of the Week \n\u2022 TUAW - App of the Day \n\nQUOTES \n\n\u2022 IGN: \u201cOne of the best iOS games of 2012\u201d \n\u2022 Penny Arcade: ""This is a game that everyone needs to try"" \n\u2022 New York Times: ""At last we have a sequel!"" \n\u2022 G4TV: \u201cYou need to download this game immediately\u201d \n\u2022 TouchArcade: \u201cIt will eat your soul and have you thanking it\u201d \n\u2022 CNET: \u201cYou will love this game\u201d \n\u2022 The Verge/Polygon: \u201cOne of the strongest TD games I\u2019ve ever played\u201d \n\u2022 148Apps: \u201cThe king of tower defense returns!\u201d \n\u2022 GamesBeat: \u201cInnovating and redefining tower defense\u201d \n\u2022 Apple\u2019N\u2019Apps: \u201cThe best game we saw at E3\u201d \n\nCONTACT SUBATOMIC STUDIOS\n\n\u2022 Twitter: @Fieldrunners \n\u2022 Facebook: facebook.com/fieldrunners \n\u2022 Web: subatomicstudios.com \n\u2022 Forums: subatomicstudios.com/forum \n\u2022 Tech Support: bugs[at]subatomicstudios.com\n\nTHANK YOU\n\nEveryone here at Subatomic Studios thanks you for playing! Please take a moment to rate Fieldrunners 2.","Subatomic Studios, LLC",9+,EN,91313152,Games,"Games, Action, Strategy, Entertainment",19/07/2012,11/04/2018,Action,292520,21997.504,2808.192,874634.8,1436273.2
1039,1039,https://apps.apple.com/us/app/kingdom-rush-hd/id489265199,489265199,Kingdom Rush HD,,https://is4-ssl.mzstatic.com/image/thumb/Purple123/v4/93/8d/9e/938d9ee7-7807-d66f-e7bb-995b646789b1/source/512x512bb.jpg,5,36212,0,"2.99, 2.99, 2.99, 4.99, 4.99, 9.99, 0.99, 0.99, 0.99, 4.99, 2.99, 2.99, 4.99, 2.99, 2.99","""One of the most engaging TD games we\'ve played on an iPad""\n-Slidetoplay.com (STP Score of 4 out of 4 ""Must Have"")\n\n""This is easily one of the best TD games currently in the App Store""\n-Gamezebo.com (4.5 out of 5 Stars)\n\n""Kingdom Rush can be filed in the thin folder marked ""games that are pretty much perfect"" \n-JayisGames.com \n\n""This is one kingdom you\'ll be in no rush to escape from"" \n-PocketGamer (Gold Award - Score 9) \n\n""Kingdom Rush proves that the defense genre is still alive.""\n-148Apps (4.5 Stars out of 5) Editor\'s Choice\n\n""Ironhide Game Studios\u2019 new game Kingdom Rush adds a much-needed shot of non-EA blood to the iPad charts."" \n-InsideMobileApps \n\n""TD with a Touch of Excellence""\n-toucharcade.com (4.5 stars out of 5)\n\nThe acclaimed action fantasy defense game is now available for iPad in High Definition! Get ready for an epic journey to defend your kingdom against hordes of orcs, trolls, evil wizards and other nasty fiends using a vast arsenal of towers and spells at your command!\n\nFight on forests, mountains and wastelands, customizing your defensive strategy with different tower upgrades and specializations! Rain fire upon your enemies, summon reinforcements, command your troops, recruit elven warriors and face legendary monsters on a quest to save the Kingdom from the forces of darkness!\n\n\nKingdom Rush highlights:\n\n\u2022 Epic defense battles that will hook you for hours!\n\n\u2022 Command your soldiers and see them engage in hand to hand cartoon battles!\n\n\u2022 8 specialized tower upgrades to customize your strategy! Mighty Barbarians, Arcane Wizards, Forest Rangers to name a few.\n\n\u2022 Over 18 tower abilities! Have your Sorcerers summon earth elementals and polymorph your enemies!\n\n\u2022 Over 30 different enemies, from Goblins to Demons each with their own skills! (Beware of the mountain Trolls!)\n\n\u2022 Intense boss fights never seen on a defense game!\n\n\u2022 Hours of gameplay with over 50 achievements \n\n\u2022 Extra game modes that will challenge your tactical skills to the limit.\n\n\u2022 High definition awesome illustrated cartoon art!\n\n\u2022 In-game encyclopedia with information from your towers and enemies.",Ironhide S.A.,12+,"EN, FR, DE, JA, KO, PT, RU, ZH, ES, ZH",415674368,Games,"Games, Action, Strategy",21/12/2011,19/07/2019,Action,724240,54462.848,6952.704,0,1390540.8
1926,1926,https://apps.apple.com/us/app/kingdom-rush-frontiers-hd/id598581619,598581619,Kingdom Rush Frontiers HD,,https://is3-ssl.mzstatic.com/image/thumb/Purple123/v4/b4/09/53/b4095358-fad4-0a33-39e1-cbcf022e4699/source/512x512bb.jpg,5,13708,2.99,"2.99, 2.99, 6.99, 2.99, 6.99, 9.99, 6.99, 6.99, 4.99, 2.99, 0.99, 2.99, 0.99, 0.99, 4.99","""The world's most devilishly addictive defense game is back - welcome to Kingdom Rush: Frontiers! \n\nBigger and badder than ever before, Kingdom Rush: Frontiers is a whole new level of the furiously fast, enchantingly charming gameplay that made the original title an award-winning hit. Tap your troops through an epic (mis)adventure as you defend exotic lands from dragons, man-eating plants, and ghastly denizens of the underworld -all with flashy new towers, levels, heroes, and more goodies to help you crush your foes to a pulp. (Don't worry, we've still got all the good ol' stuff from the last game, too. It's vintage now.) \n\nKingdom Rush: Frontiers packs in so much content, it's like a fully upgraded artillery blast of mouthwatering, pixelated joy launched right into your smiling little face... and it hurts so good! \n\nGAME FEATURES\n\n\u2022 Fortify the frontier in exotic news lands - hold the line in deserts, jungles and even the underworld!\n\n\u2022 Eight new specialized tower upgrades! Slice, sizzle, and stomp your foes with Crossbow Forts, Mighty Templars, Necromancers, and even Earthquake Machines - hey, we told you we were shaking things up.\n\n\u2022 Over 18 tower abilities! Unleash Death Riders, pestilence clouds, or Assassins that steal and kill your enemies!\n\n\u2022 Over 40 enemies with unique abilities! Stay on your toes as you fight through desert sandworms, tribal shamans, nomad tribes and underground terrors.\n\n\u2022 Nine legendary heroes. Choose your champions and train their abilities!\n\n\u2022 Special units and features on every stage! Watch out for the Black Dragon!\n\n\u2022 Merciless boss fights! Hey, we told you to get those upgrades...\n\n\u2022 Hours of gameplay with over 70 achievements!\n\n\u2022 Classic, Iron, and Heroic game modes to challenge your tactical skills!\n\n\u2022 Three difficulty modes! Are you up for a real challenge? Go with Hard mode!\nIntoxicating charm with a rousing score, full-bodied voice-overs and lovingly illustrated cartoon art! (Complete with cartoon blood, naturally.)\n\n\u2022 In-game encyclopedia! True warriors know thine enemies... and their towers. Study up!\n\nPRAISE FOR KINGDOM RUSH: IGN Editor's Choice, Slide To Play Must Have, 148 Apps Editor's Choice, Jay is Games Game of the Year, Pocket Gamer Gold Award, Touch Arcade 4.5/5, CNET. Best iPad Games""",Ironhide S.A.,9+,"EN, FR, DE, JA, KO, PT, RU, ZH, ES, ZH",462958592,Games,"Games, Action, Entertainment, Strategy",6/06/2013,17/07/2019,Action,274160,20616.832,2631.936,819738.4,1346125.6
1260,1260,https://apps.apple.com/us/app/kingdom-rush/id516378985,516378985,Kingdom Rush,,https://is4-ssl.mzstatic.com/image/thumb/Purple113/v4/0e/7c/77/0e7c77c1-1f37-d6da-90c5-7be06cf520af/source/512x512bb.jpg,5,27408,0,"2.99, 2.99, 2.99, 4.99, 4.99, 0.99, 0.99, 9.99, 0.99, 4.99, 2.99, 4.99, 2.99, 2.99, 2.99","*****#1 Strategy Game on the iPhone and iPod Touch*****\n\n""One of the most engaging TD games we\'ve played"" \n-Slidetoplay.com (STP Score of 4 out of 4 ""Must Have"") \n\n""This is easily one of the best TD games currently in the App Store"" \n-Gamezebo.com (4.5 out of 5 Stars) \n\n""Kingdom Rush can be filed in the thin folder marked ""games that are pretty much perfect"" \n-JayisGames.com \n\n""This is one kingdom you\'ll be in no rush to escape from"" \n-PocketGamer (Gold Award - Score 9) \n\n""Kingdom Rush proves that the defense genre is still alive."" \n-148Apps (4.5 Stars out of 5) Editor\'s Choice \n\n""Ironhide Game Studios\u2019 new game Kingdom Rush adds a much-needed shot of non-EA blood to the iPad charts."" \n-InsideMobileApps \n\n""TD with a Touch of Excellence"" \n-toucharcade.com (4.5 stars out of 5) \n\nThe acclaimed action fantasy defense game is now available for iPhone and iPod! Get ready for an epic journey to defend your kingdom against hordes of orcs, trolls, evil wizards and other nasty fiends using a vast arsenal of towers and spells at your command! \n\nFight on forests, mountains and wastelands, customizing your defensive strategy with different tower upgrades and specializations! Rain fire upon your enemies, summon reinforcements, command your troops, recruit elven warriors and face legendary monsters on a quest to save the Kingdom from the forces of darkness! \n\n\nKingdom Rush highlights: \n\n\u2022 Epic defense battles that will hook you for hours! \n\n\u2022 Command your soldiers and see them engage in hand to hand cartoon battles! \n\n\u2022 8 specialized tower upgrades to customize your strategy! Mighty Barbarians, Arcane Wizards, Forest Rangers to name a few. \n\n\u2022 Over 18 tower abilities! Have your Sorcerers summon earth elementals and polymorph your enemies! \n\n\u2022 Over 45 different enemies, from Goblins to Demons each with their own skills! (Beware of the mountain Trolls!) \n\n\u2022 Intense boss fights never seen on a defense game! \n\n\u2022 Hours of gameplay with over 50 achievements \n\n\u2022 Extra game modes that will challenge your tactical skills to the limit. \n\n\u2022 High definition awesome illustrated cartoon art! \n\n\u2022 In-game encyclopedia with information from your towers and enemies.\n\n\u2022 Retina display!!!",Ironhide S.A.,12+,"EN, FR, DE, JA, KO, PT, RU, ZH, ES, ZH",205219840,Games,"Games, Action, Strategy",28/06/2012,16/07/2019,Action,548160,41221.632,5262.336,0,1052467.2
1601,1601,https://apps.apple.com/us/app/fieldrunners-2-for-ipad/id556666026,556666026,Fieldrunners 2 for iPad,,https://is1-ssl.mzstatic.com/image/thumb/Purple117/v4/c6/c9/86/c6c986f5-f232-1de6-1746-a5e7a963bb4c/source/512x512bb.jpg,4.5,7474,4.99,"2.99, 8.99, 12.99, 19.99, 39.99, 99.99","OVERVIEW \n\nThe fieldrunners are back! With legions of soldiers and a gaggle of new tricks, they\u2019re ready to conquer the globe. Or so they think! Our top scientists at SubaLabs have built a bleeding-edge arsenal of devastating weapons for any heroes willing to stop these dastardly invaders. Help your people by taking action - DEFEND THE WORLD! \n\nStrategic-Action-Puzzle-Defense has never been this fun and addicting! Defend your world from the invasion by building winding paths out of imaginative, new weapons. Call in airstrikes and set explosive traps to hit the enemies where it hurts. Over 20 new levels span the grassiest fields, driest deserts, sparkling cities, and even an infernal volcano lair! Challenge your mind with the exciting new gameplay styles in Puzzle, Sudden Death, and Time Trial levels. Are you ready to stop the fieldrunners once and for all? Join the defense now!\n\nKEY FEATURES\n\n\u2022 Gorgeous artwork at full Retina resolution! \n\u2022 Tons of levels - countless hours of action! \n\u2022 20 unique, upgradable weapons! \n\u2022 Revolutionary AI with stunning realism! \n\u2022 Pick the perfect weapons for each battle! \n\u2022 Air strikes, mines, and powerful items! \n\u2022 Refreshing game modes, which include Time Trial, Sudden Death, and Puzzle maps! \n\u2022 Trenches, bridges, and tunnels! \n\u2022 Elite enemies invade at the most unexpected times!\n\u2022 iCloud support lets you transfer saves between your devices!\n\u2022 A tower that launches bee hives!\n\nOFFICIAL TRAILER \n\nhttps://www.youtube.com/watch?v=t6AK8w50354\n\nAWARDS\n\n\u2022 Kotaku - Gaming App of the Day \n\u2022 GameTrailers - App of the Day \n\u2022 G4TV - Best Mobile Games \n\u2022 Macworld - Editors\u2019 Choice \n\u2022 148Apps - Editor\u2019s Choice \n\u2022 Slide to Play - Game of the Month \n\u2022 AppAdvice - Game of the Week \n\u2022 Chicago Tribune - Game of the Week \n\u2022 TUAW - App of the Day \n\nQUOTES \n\n\u2022 IGN: \u201cOne of the best iOS games of 2012\u201d \n\u2022 Penny Arcade: ""This is a game that everyone needs to try"" \n\u2022 New York Times: ""At last we have a sequel!"" \n\u2022 G4TV: \u201cYou need to download this game immediately\u201d \n\u2022 TouchArcade: \u201cIt will eat your soul and have you thanking it\u201d \n\u2022 CNET: \u201cYou will love this game\u201d \n\u2022 The Verge/Polygon: \u201cOne of the strongest TD games I\u2019ve ever played\u201d \n\u2022 148Apps: \u201cThe king of tower defense returns!\u201d \n\u2022 GamesBeat: \u201cInnovating and redefining tower defense\u201d \n\u2022 Apple\u2019N\u2019Apps: \u201cThe best game we saw at E3\u201d \n\nCONTACT SUBATOMIC STUDIOS\n\n\u2022 Twitter: @Fieldrunners \n\u2022 Facebook: facebook.com/fieldrunners \n\u2022 Web: subatomicstudios.com \n\u2022 Forums: subatomicstudios.com/forum \n\u2022 Tech Support: bugs[at]subatomicstudios.com\n\nTHANK YOU\n\nEveryone here at Subatomic Studios thanks you for playing! Please take a moment to rate Fieldrunners 2.","Subatomic Studios, LLC",9+,EN,388883456,Games,"Games, Action, Entertainment, Strategy",13/09/2012,10/05/2017,Action,149480,11240.896,1435.008,745905.2,1032906.8
2187,2187,https://apps.apple.com/us/app/heroes-of-dragon-age/id638992331,638992331,Heroes of Dragon Age,,https://is4-ssl.mzstatic.com/image/thumb/Purple123/v4/14/d3/aa/14d3aa08-4d50-2c8c-e173-a9a56910a412/source/512x512bb.jpg,4.5,18060,0,"3.99, 1.99, 9.99, 19.99, 29.99, 0.99, 1.99, 99.99, 49.99, 9.99","COLLECT THE HEROES. BECOME A LEGEND!\nBuild a party of famous warriors and epic monsters from Dragon Age lore. Battle other players in strategic, CCG-inspired 3D combat and compete for daily PvE rewards in the Nexus. Fight bosses on engaging quests from the award-wining, dark fantasy RPG games.\n\nRead on for important info below!\n\nSUMMON YOUR FORCES\nCollect hundreds of characters from the Dragon Age universe, including rare dragons, giant golems, and other devastating creatures \u2013 each with unique abilities, stats, and factions. Unlock Fortify Slots to consume your other heroes\u2019 stats and become more powerful than you can imagine. Devise deep strategies with the Gallery: a compendium of hero groups, faction, rarities, and specialties. \n\nENTER THE NEXUS\nWelcome to a quest-embarking, boss-battling, PvE adventure for all skill levels. Progress through exclusive maps and complete daily challenges to win heroic loot!\n\nBATTLE ON\nBuild up to eight squads and watch your strategy unfold on the battlefield. The more heroes you collect, the more possibilities you have at your fingertips. Clash against other players to earn banners and one-of-a-kind rewards in timed events. Deploy your winning formations to earn trophies and dominate tiered leaderboards. Can you beat other players and hold the top spot?\n\nEXPERIENCE THEDAS\nPlay through epic quests and boss battles as you immerse yourself in Dragon Age lore. Earn achievement rewards by reliving places, times and storylines straight from the beloved franchise!\n\nBE MESMERIZD\nImmerse yourself in stunning graphics as you watch your heroes rock the battlefield with amazing special effects. \n\nAre you ready to master the heroes of Dragon Age? Join us now for FREE\n\nConnect with other fans on Facebook: https://www.facebook.com/HeroesofDragonAge\n_____________________________\n\nUser Agreement: terms.ea.com\nVisit: https://help.ea.com/ for assistance or inquiries. \n_____________________________\n\nNOTE:\n\nEverything in Heroes of Dragon Age is attainable for free; however, some game items can also be purchased for real money. If you don\u2019t want to use this feature, please disable in-app purchases in your device\u2019s settings. \n\nThis game is not supported on iPod touch\xae 4th Generation. \n\nImportant Consumer Information \u2013 this app:\n\n-Requires a persistent Internet connection (network fees may apply);\n\n-EA may retire online features and services after 30-days\u2019 notice posted on www.ea.com/1/service-updates;\n-EA may retire online features and services after 30-days\u2019 notice per e-mail (if available) and posted on www.ea.com/de/1/service-updates;\n-Collects data through third party ad serving and analytics technology (See Privacy & Cookie Policy for details);\n\n\nBy installing this game, you consent to its installation and the installation of any game updates or upgrades released through your platform. You can turn off automatic updates through your device settings, but if you do not update your app, you may experience reduced functionality. \n\nSome updates and upgrades may change the way we record usage data and metrics, or change data stored on your device. Any changes will always be consistent with EA\u2019s Privacy and Cookie Policy, available at privacy.ea.com. You can withdraw your consent at any time by removing or disabling this app, visiting help.ea.com for assistance, or by contacting us at ATTN: Privacy / Mobile Consent Withdrawal, Electronic Arts Inc., 209 Redwood Shores Pkwy, Redwood City, CA, USA.",Electronic Arts,12+,"ZH, NL, EN, FR, DE, IT, JA, KO, PT, RU, ES",163481600,Games,"Games, Action, Strategy",21/11/2013,1/08/2019,Action,361200,27162.24,3467.52,0,693504
